Date,Open,High,Low,Close,Volume,Market Cap
5/14/2020,9271.33,9793.27,9255.03,9733.72,56426907637.00,178881641547.00
5/13/2020,8805.39,9317.88,8805.39,9269.99,45558144023.00,170352710071.00
5/12/2020,8610.39,8949.90,8569.64,8804.48,42142717533.00,161791577301.00
5/11/2020,8755.54,9033.47,8374.32,8601.80,57119858802.00,158059235276.00
5/10/2020,9591.17,9595.58,8395.11,8756.43,63325279337.00,160884755211.00
5/9/2020,9840.91,9913.86,9580.64,9593.90,46566121841.00,176251395673.00
5/8/2020,9936.16,9996.74,9767.17,9842.67,51780748042.00,180804859844.00
5/7/2020,9261.90,9992.66,9138.32,9951.52,61112700562.00,182787376637.00
5/6/2020,9007.44,9411.47,8966.71,9268.76,49371886931.00,170229620935.00
5/5/2020,8912.83,9062.41,8856.83,9003.07,43148462663.00,165332488792.00
5/4/2020,8895.74,8956.91,8645.02,8912.65,45718796276.00,163654493632.00
5/3/2020,8983.61,9167.78,8830.97,8897.47,47101785174.00,163358189151.00
5/2/2020,8869.06,9007.19,8811.37,8988.60,40134388683.00,165012307600.00
5/1/2020,8672.78,9048.02,8667.76,8864.77,44068389997.00,162722652380.00
4/30/2020,8797.67,9440.65,8533.26,8658.55,66964629541.00,158922133909.00
4/29/2020,7806.71,8871.75,7786.05,8801.04,60201052203.00,161522471385.00
4/28/2020,7796.97,7814.53,7730.81,7807.06,33187959921.00,143266252261.00
4/27/2020,7679.42,7795.60,7679.42,7795.60,36162144725.00,143040988590.00
4/26/2020,7570.14,7700.59,7561.41,7679.87,33070154491.00,140903867573.00
4/25/2020,7550.48,7641.36,7521.67,7569.94,32941541447.00,138874072264.00
4/24/2020,7434.18,7574.20,7434.18,7550.90,34636526286.00,138512029491.00
4/23/2020,7121.31,7491.78,7081.59,7429.72,43500782316.00,136275638031.00
4/22/2020,6879.44,7145.87,6867.78,7117.21,33249153866.00,130530916077.00
4/21/2020,6879.78,6934.55,6834.44,6880.32,32589741511.00,126175238603.00
