Timestamp,total-bitcoins
2013-11-23 18:59:30,12028600
2013-11-26 12:26:43,12040250
2013-11-29 04:27:01,12051825
2013-12-01 18:49:43,12063550
2013-12-04 09:03:12,12075150
2013-12-06 21:10:59,12086825
2013-12-09 07:36:02,12098625
2013-12-11 22:10:02,12110000
2013-12-14 14:15:05,12121650
2013-12-17 02:17:06,12133725
2013-12-19 07:43:42,12145450
2013-12-21 21:11:26,12156875
2013-12-24 14:48:55,12168450
2013-12-27 06:46:23,12179925
2013-12-30 02:06:42,12191400
2014-01-01 14:39:23,12203300
2014-01-04 13:40:47,12214750
2014-01-07 03:06:59,12226350
2014-01-09 15:48:21,12238000
2014-01-11 23:11:32,12249775
2014-01-14 11:53:35,12261300
2014-01-17 00:21:51,12272775
2014-01-19 19:23:11,12284325
2014-01-22 10:28:44,12296225
2014-01-25 01:32:01,12308125
2014-01-28 01:37:57,12320400
2014-01-30 22:13:11,12331950
2014-02-02 10:25:25,12343525
2014-02-05 01:17:29,12355425
2014-02-07 21:36:07,12367200
2014-02-10 20:05:45,12379000
2014-02-13 14:26:01,12391000
2014-02-16 03:14:21,12402875
2014-02-19 00:13:40,12415075
2014-02-21 18:17:07,12427150
2014-02-24 12:53:31,12439425
2014-02-27 07:21:51,12451700
2014-03-02 06:09:00,12463925
2014-03-05 11:02:34,12476025
2014-03-08 11:48:29,12488300
2014-03-11 09:53:52,12500375
2014-03-14 09:40:36,12512675
2014-03-17 08:08:55,12524625
2014-03-20 07:53:59,12536375
2014-03-23 02:09:55,12548575
2014-03-25 16:41:49,12560650
2014-03-28 12:36:50,12572675
2014-03-31 11:58:20,12584725
2014-04-03 01:43:11,12596775
2014-04-05 12:14:23,12608625
2014-04-08 20:01:34,12620950
2014-04-11 20:38:05,12632950
2014-04-14 13:32:15,12645000
2014-04-17 09:29:54,12657425
2014-04-20 11:27:54,12669850
2014-04-23 07:46:31,12682000
2014-04-26 09:28:48,12694675
2014-04-29 10:46:01,12707000
2014-05-02 12:56:54,12719300
2014-05-05 20:10:36,12731300
2014-05-08 17:31:31,12743500
2014-05-11 13:07:29,12755650
2014-05-14 14:42:46,12767675
2014-05-17 08:51:05,12779675
2014-05-20 07:38:18,12792300
2014-05-23 03:01:03,12804400
2014-05-26 02:57:10,12816325
2014-05-29 04:15:25,12828100
2014-06-01 04:45:34,12839600
2014-06-03 17:49:33,12851375
2014-06-06 16:34:40,12863175
2014-06-09 21:25:18,12874875
2014-06-12 21:01:37,12887000
2014-06-15 15:50:02,12899000
2014-06-18 04:38:21,12911025
2014-06-21 00:26:06,12923025
2014-06-23 17:27:10,12935100
2014-06-26 05:25:31,12946800
2014-06-28 19:48:15,12958775
2014-07-02 02:59:10,12970625
2014-07-05 05:33:49,12982250
2014-07-08 10:41:03,12993950
2014-07-11 10:30:18,13005975
